200,Sales,1-Jan-16,INV,Unit A - Rent Unit A,INV-0001,13000,0,13000,0.00%,Tax on Sales,1
200,Sales,1-Jan-16,INV,Unit A - Dues Unit A,INV-0001,1000,0,1000,0.00%,Tax on Sales,2
200,Sales,1-Jan-16,INV,Unit A - Electricity Unit A,INV-0001,5068,0,5068,0.00%,Tax on Sales,3
200,Sales,1-Jan-16,INV,Unit A - Water Unit A,INV-0001,1302,0,1302,0.00%,Tax on Sales,4
200,Sales,1-Jan-16,INV,Unit B - Water Unit B,INV-0002,806,0,806,0.00%,Tax on Sales,5
200,Sales,1-Jan-16,INV,Unit B - Electricity Unit B,INV-0002,3682,0,3682,0.00%,Tax on Sales,6
200,Sales,1-Jan-16,INV,Unit B - Dues Unit B,INV-0002,1000,0,1000,0.00%,Tax on Sales,7
200,Sales,1-Jan-16,INV,Unit B - Rent Unit B,INV-0002,14000,0,14000,0.00%,Tax on Sales,8
200,Sales,1-Jan-16,INV,Unit C - Dues Unit C,INV-0003,1000,0,1000,0.00%,Tax on Sales,9
200,Sales,1-Jan-16,INV,Unit C - Electricity Unit C,INV-0003,2630,0,2630,0.00%,Tax on Sales,10
200,Sales,1-Jan-16,INV,Unit C - Water Unit C,INV-0003,806,0,806,0.00%,Tax on Sales,11
200,Sales,1-Jan-16,INV,Unit C - Rent Unit C,INV-0003,13000,0,13000,0.00%,Tax on Sales,12
200,Sales,1-Jan-16,INV,Unit D - Dues Unit D,INV-0008,1000,0,1000,0.00%,Tax on Sales,13
200,Sales,1-Jan-16,INV,Unit D - Electricity Unit D,INV-0008,2185,0,2185,0.00%,Tax on Sales,14
200,Sales,1-Jan-16,INV,Unit D - Rent Unit D,INV-0008,14000,0,14000,0.00%,Tax on Sales,15
200,Sales,1-Jan-16,INV,Unit D - Water Unit D,INV-0008,806,0,806,0.00%,Tax on Sales,16
200,Sales,1-Jan-16,INV,Unit E - Unit E Water,INV-0007,2046,0,2046,0.00%,Tax on Sales,17
200,Sales,1-Jan-16,INV,Unit E - Unit E Dues,INV-0007,7334,0,7334,0.00%,Tax on Sales,18
200,Sales,1-Jan-16,INV,Unit E - Electricity Unit E,INV-0007,14000,0,14000,0.00%,Tax on Sales,19
200,Sales,1-Jan-16,INV,Unit E - Dues Unit F,INV-0007,1000,0,1000,0.00%,Tax on Sales,20
200,Sales,1-Jan-16,INV,Unt F - Electricity Unit F,INV-0010,131.51,0,131.51,0.00%,Tax on Sales,21
200,Sales,1-Jan-16,INV,Unt F - Water Unit F,INV-0010,186,0,186,0.00%,Tax on Sales,22
